ID,Name,PubChem,CN,Smiles,Source
147,methyl pentanoate,12206,13.3,CCCCC(=O)OC,FeatureCreature
148,ethyl pentanoate,10882,18.6,CCCCC(=O)OCC,FeatureCreature
149,propyl pentanoate,67328,20.7,CCCCC(=O)OCCC,FeatureCreature
150,butyl pentanoate,61137,23.5,CCCCC(=O)OCCCC,FeatureCreature
151,2-methyl-2-(beta-naphthyl)hexane,,10,CCCCC(C)(C)c1ccc2ccccc2c1,Saldana
152,2-methylhexane,11582,43.5,CCCCC(C)C,FeatureCreature
153,2-ethyl-1-hexanol,7720,23.4,CCCCC(CC)CO,FeatureCreature
154,dioctyl sebacate,31218,70,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,FeatureCreature
155,"5,6-dibutyldecane",529909,30,CCCCC(CCCC)C(CCCC)CCCC,FeatureCreature
156,5-butylnonane,300476,53,CCCCC(CCCC)CCCC,FeatureCreature
157,(2E)-oct-2-ene,,43,CCCCC/C=C/C,Saldana
158,methyl linolelaidate,5362793,43,CCCCC/C=C/C/C=C/CCCCCCCC(=O)OC,FeatureCreature
159,(2Z)-oct-2-ene,,43,CCCCC/C=C\C,Saldana
160,methyl-5(Z)8(z)11(Z)14(Z)-eicosatetraenoate,6421258,29.6,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC,FeatureCreature
161,methyl gamma-linolenate,6439889,29.2,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC,FeatureCreature
162,linoleic acid,5280450,31,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,FeatureCreature
163,methyl linoleate,5284421,41.05,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,FeatureCreature
164,"2,3-bis[[(9Z,12Z)-octadeca-9,12-dienoyl]oxy]propyl",,32,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC,Saldana
165,ethyl linoleate,5282184,44.4,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,FeatureCreature
166,trilinolein,5322095,32,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCC/C=C\C/C=C\CCCCC,FeatureCreature
167,"propyl (9Z,12Z)-octadeca-9,12-dienoate",,42.3,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCC,Saldana
168,"butyl (9Z,12Z)-octadeca-9,12-dienoate",,47.55,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCC,Saldana
169,linoleyl alcohol,5365682,44,CCCCC/C=C\C/C=C\CCCCCCCCO,FeatureCreature
170,1-butylnaphthalene,15414,6,CCCCC1=CC=CC2=CC=CC=C21,FeatureCreature
171,n-butylbenzene,7705,12,CCCCC1=CC=CC=C1,FeatureCreature
172,2-butyl furan,20534,13.1,CCCCC1=CC=CO1,FeatureCreature
173,n-butyldecalin,145243,31,CCCCC1CCCC2C1CCCC2,FeatureCreature
174,butyldecalin,,31,CCCCC1CCCC2CCCCC12,Saldana
175,n-butylcyclohexane,15506,47.8,CCCCC1CCCCC1,FeatureCreature
176,2-butyl tetrahydrofuran,13861,45.5,CCCCC1CCCO1,FeatureCreature
177,butyltetralin,,18,CCCCC1CCCc2ccccc12,Saldana
178,1-hexene,11597,25.8,CCCCC=C,FeatureCreature
179,n-hexane,8058,48.95,CCCCCC,FeatureCreature
180,1-heptyne,12350,22,CCCCCC#C,FeatureCreature
181,2-heptanone,8051,30,CCCCCC(=O)C,FeatureCreature
182,3-octanone,246728,36,CCCCCC(=O)CC,FeatureCreature
183,4-nonanone,78236,43,CCCCCC(=O)CCC,FeatureCreature
184,6-undecanone,13561,49,CCCCCC(=O)CCCCC,FeatureCreature
